iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9317796884798537,2.922030392815085,0.07536764705882353,40.848499059677124,False,,,1,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-55-31,1674291331,40.848499059677124,10100,ML-RefVm-847530,10.0.0.18,40.848499059677124,0,1,0.003862619400024414
0,2.9255503299189547,2.8296106703141155,0.08685661764705882,41.80647039413452,False,0,0,1,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-57-55,1674291475,82.65496945381165,10199,ML-RefVm-847530,10.0.0.18,41.80647039413452,0,1,0.00694584846496582
1,2.5030148169573616,2.416598951115328,0.1796875,41.08053517341614,False,0,0,2,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-58-36,1674291516,123.73550462722778,10199,ML-RefVm-847530,10.0.0.18,82.88700556755066,0,2,0.00694584846496582
2,2.2540425412795124,2.3008846956140854,0.20818014705882354,40.354819774627686,False,0,0,3,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-59-16,1674291556,164.09032440185547,10199,ML-RefVm-847530,10.0.0.18,123.24182534217834,0,3,0.00694584846496582
0,2.930419833052392,3.0082523963030647,0.07996323529411764,32.37824773788452,False,0,0,1,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-23,1674291683,196.46857213974,13131,ML-RefVm-847530,10.0.0.18,32.37824773788452,0,1,0.015305519104003906
1,2.8353270876641368,2.8408061195822323,0.0744485294117647,34.191503047943115,False,0,0,2,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-57,1674291717,230.6600751876831,13131,ML-RefVm-847530,10.0.0.18,66.56975078582764,0,2,0.015305519104003906
2,2.617725629432529,2.4787707609288834,0.10753676470588236,30.086433172225952,False,0,0,3,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-02-27,1674291747,260.74650835990906,13131,ML-RefVm-847530,10.0.0.18,96.65618395805359,0,3,0.015305519104003906
3,2.3857741449393477,2.368288250530467,0.18979779411764705,30.12254309654236,False,0,0,4,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-02-57,1674291777,290.8690514564514,13131,ML-RefVm-847530,10.0.0.18,126.77872705459595,0,4,0.015305519104003906
4,2.15211342830284,2.0532466593910668,0.29549632352941174,28.89516592025757,False,0,0,5,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-03-26,1674291806,319.764217376709,13131,ML-RefVm-847530,10.0.0.18,155.67389297485352,0,5,0.015305519104003906
5,1.7697737684436874,1.6778049609240364,0.4912683823529412,22.541423082351685,False,0,0,6,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-03-49,1674291829,342.30564045906067,13131,ML-RefVm-847530,10.0.0.18,178.2153160572052,0,6,0.015305519104003906
6,1.4234371255425846,1.3257369784747852,0.5951286764705882,21.951976776123047,False,0,0,7,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-04-11,1674291851,364.2576172351837,13131,ML-RefVm-847530,10.0.0.18,200.16729283332825,0,7,0.015305519104003906
7,1.1310937018955456,1.09919975084417,0.6355698529411765,21.983323574066162,False,0,0,8,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-04-33,1674291873,386.2409408092499,13131,ML-RefVm-847530,10.0.0.18,222.1506164073944,0,8,0.015305519104003906
8,0.9057253716038722,0.9620938090717092,0.703125,21.60666275024414,True,0,0,9,be46dbb1,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-04-54,1674291894,407.847603559494,13131,ML-RefVm-847530,10.0.0.18,243.75727915763855,0,9,0.015305519104003906
