iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.934432403714049,2.964698721380795,0.0703125,26.68246841430664,False,,,1,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-18-12,1674325092,26.68246841430664,12497,ML-RefVm-847530,10.0.0.18,26.68246841430664,0,1,0.00762939453125
0,2.941259084963331,2.96938949472764,0.06939338235294118,26.382039785385132,False,0,0,1,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-21-19,1674325279,53.06450819969177,15569,ML-RefVm-847530,10.0.0.18,26.382039785385132,0,1,0.013723134994506836
1,2.804317221922033,2.802544916377348,0.10386029411764706,23.973767280578613,False,0,0,2,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-21-43,1674325303,77.03827548027039,15569,ML-RefVm-847530,10.0.0.18,50.355807065963745,0,2,0.013723134994506836
2,2.5246073217952953,2.376297852572273,0.1567095588235294,16.511404275894165,False,0,0,3,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-21-59,1674325319,93.54967975616455,15569,ML-RefVm-847530,10.0.0.18,66.86721134185791,0,3,0.013723134994506836
0,2.9536844421835506,2.950677044251386,0.08134191176470588,23.77329134941101,False,0,0,1,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-22-30,1674325350,117.32297110557556,19956,ML-RefVm-847530,10.0.0.18,23.77329134941101,0,1,0.014936208724975586
1,2.77468409725264,2.573559242136338,0.109375,23.598905324935913,False,0,0,2,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-22-53,1674325373,140.92187643051147,19956,ML-RefVm-847530,10.0.0.18,47.372196674346924,0,2,0.014936208724975586
2,2.325572785209207,2.253247429342831,0.17830882352941177,21.157729625701904,False,0,0,3,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-23-15,1674325395,162.07960605621338,19956,ML-RefVm-847530,10.0.0.18,68.52992630004883,0,3,0.014936208724975586
3,2.0505847954282572,1.9521594889023726,0.2803308823529412,21.555026054382324,False,0,0,4,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-23-36,1674325416,183.6346321105957,19956,ML-RefVm-847530,10.0.0.18,90.08495235443115,0,4,0.014936208724975586
4,1.7684475276984422,1.726478282143088,0.4499080882352941,22.562997817993164,False,0,0,5,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-23-59,1674325439,206.19762992858887,19956,ML-RefVm-847530,10.0.0.18,112.64795017242432,0,5,0.014936208724975586
5,1.533460119191338,1.5971656476750093,0.4420955882352941,22.699835300445557,False,0,0,6,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-24-21,1674325461,228.89746522903442,19956,ML-RefVm-847530,10.0.0.18,135.34778547286987,0,6,0.014936208724975586
6,1.3663904292910707,1.4642329075757194,0.4880514705882353,17.50566005706787,False,0,0,7,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-24-39,1674325479,246.4031252861023,19956,ML-RefVm-847530,10.0.0.18,152.85344552993774,0,7,0.014936208724975586
7,1.207124632947585,1.2281152150210213,0.5712316176470589,15.448035478591919,False,0,0,8,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-24-54,1674325494,261.8511607646942,19956,ML-RefVm-847530,10.0.0.18,168.30148100852966,0,8,0.014936208724975586
8,1.058337102918064,1.1168730223880095,0.6052389705882353,17.056426525115967,False,0,0,9,625e7195,ee926bead13b48d0a689966c8e19b45f,2023-01-21_18-25-11,1674325511,278.9075872898102,19956,ML-RefVm-847530,10.0.0.18,185.35790753364563,0,9,0.014936208724975586
