iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9002581156936347,2.8674315705018887,0.08777573529411764,45.97144603729248,False,,,1,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-18-17,1674325097,45.97144603729248,12392,ML-RefVm-847530,10.0.0.18,45.97144603729248,0,1,0.004160642623901367
0,2.9178549448649087,2.9300003752988926,0.09283088235294118,42.70703744888306,False,0,0,1,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-20-44,1674325244,88.67848348617554,15614,ML-RefVm-847530,10.0.0.18,42.70703744888306,0,1,0.012560606002807617
1,2.722098514145496,2.5888084523818073,0.1401654411764706,42.17511177062988,False,0,0,2,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-21-27,1674325287,130.85359525680542,15614,ML-RefVm-847530,10.0.0.18,84.88214921951294,0,2,0.012560606002807617
2,2.3702063887727025,2.308003537795123,0.16727941176470587,34.51557636260986,False,0,0,3,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-22-01,1674325321,165.36917161941528,15614,ML-RefVm-847530,10.0.0.18,119.3977255821228,0,3,0.012560606002807617
3,2.036857700815388,2.0391699706806854,0.28262867647058826,33.37429118156433,False,0,0,4,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-22-35,1674325355,198.74346280097961,15614,ML-RefVm-847530,10.0.0.18,152.77201676368713,0,4,0.012560606002807617
4,1.6628469111872655,1.879934310913086,0.3400735294117647,36.696011543273926,False,0,0,5,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-23-11,1674325391,235.43947434425354,15614,ML-RefVm-847530,10.0.0.18,189.46802830696106,0,5,0.012560606002807617
5,1.4024133939369052,1.538442197967978,0.5004595588235294,36.53503942489624,False,0,0,6,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-23-48,1674325428,271.9745137691498,15614,ML-RefVm-847530,10.0.0.18,226.0030677318573,0,6,0.012560606002807617
6,1.0847369981747048,1.2603791321025175,0.5818014705882353,31.552407264709473,False,0,0,7,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-24-19,1674325459,303.52692103385925,15614,ML-RefVm-847530,10.0.0.18,257.5554749965668,0,7,0.012560606002807617
7,0.8009788779651418,0.9192696108537561,0.7164522058823529,32.051552534103394,False,0,0,8,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-24-51,1674325491,335.57847356796265,15614,ML-RefVm-847530,10.0.0.18,289.60702753067017,0,8,0.012560606002807617
8,0.5853126925580642,0.8725593756226933,0.7647058823529411,27.744723081588745,True,0,0,9,b04f4f2a,9a5f091e5bfe41998d56ad832c289db3,2023-01-21_18-25-19,1674325519,363.3231966495514,15614,ML-RefVm-847530,10.0.0.18,317.3517506122589,0,9,0.012560606002807617
