iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.926102455924539,2.950554132461548,0.07352941176470588,33.56028604507446,False,,,1,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-47-09,1674326829,33.56028604507446,36182,ML-RefVm-847530,10.0.0.18,33.56028604507446,0,1,0.005203962326049805
0,2.9215049790401086,2.9439018053167008,0.08823529411764706,37.5926730632782,False,0,0,1,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-49-30,1674326970,71.15295910835266,36185,ML-RefVm-847530,10.0.0.18,37.5926730632782,0,1,0.007236003875732422
1,2.67539223502664,2.492884874343872,0.11443014705882353,27.188820600509644,False,0,0,2,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-49-57,1674326997,98.3417797088623,36185,ML-RefVm-847530,10.0.0.18,64.78149366378784,0,2,0.007236003875732422
2,2.293471518684836,2.3307352907517376,0.16038602941176472,26.54422402381897,False,0,0,3,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-50-24,1674327024,124.88600373268127,36185,ML-RefVm-847530,10.0.0.18,91.32571768760681,0,3,0.007236003875732422
0,2.9219173029357313,2.9273808984195484,0.09283088235294118,29.199737548828125,False,0,0,1,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-51-04,1674327064,154.0857412815094,42896,ML-RefVm-847530,10.0.0.18,29.199737548828125,0,1,0.014533281326293945
1,2.577557727402332,2.38303084934459,0.16636029411764705,28.14831018447876,False,0,0,2,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-51-32,1674327092,182.23405146598816,42896,ML-RefVm-847530,10.0.0.18,57.348047733306885,0,2,0.014533281326293945
2,2.29122275464675,2.259619993322036,0.16773897058823528,26.512920141220093,False,0,0,3,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-51-58,1674327118,208.74697160720825,42896,ML-RefVm-847530,10.0.0.18,83.86096787452698,0,3,0.014533281326293945
3,2.085532775112227,2.056295331786661,0.2803308823529412,19.070783615112305,False,0,0,4,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-52-17,1674327137,227.81775522232056,42896,ML-RefVm-847530,10.0.0.18,102.93175148963928,0,4,0.014533281326293945
4,1.8589707309124517,1.9766217750661514,0.3069852941176471,19.720013856887817,False,0,0,5,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-52-37,1674327157,247.53776907920837,42896,ML-RefVm-847530,10.0.0.18,122.6517653465271,0,5,0.014533281326293945
5,1.6779141145593979,1.7775614121380974,0.42233455882352944,22.98350191116333,False,0,0,6,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-53-00,1674327180,270.5212709903717,42896,ML-RefVm-847530,10.0.0.18,145.63526725769043,0,6,0.014533281326293945
6,1.5162878597483915,1.6120272454093485,0.4632352941176471,21.90369439125061,False,0,0,7,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-53-22,1674327202,292.4249653816223,42896,ML-RefVm-847530,10.0.0.18,167.53896164894104,0,7,0.014533281326293945
7,1.2567626494987338,1.460703639423146,0.5248161764705882,21.77481245994568,False,0,0,8,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-53-44,1674327224,314.199777841568,42896,ML-RefVm-847530,10.0.0.18,189.31377410888672,0,8,0.014533281326293945
8,1.0691947247467788,1.1540570224032682,0.6870404411764706,22.14907193183899,True,0,0,9,a933c5e5,fff5f54c51134e11acdddd6e72ce0eb7,2023-01-21_18-54-06,1674327246,336.348849773407,42896,ML-RefVm-847530,10.0.0.18,211.4628460407257,0,9,0.014533281326293945
