iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.940275963614969,2.943793100469253,0.0822610294117647,31.988758087158203,False,,,1,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-47-17,1674326837,31.988758087158203,36078,ML-RefVm-847530,10.0.0.18,31.988758087158203,0,1,0.004252195358276367
0,2.9142067853142235,2.9726866413565243,0.07766544117647059,36.97333741188049,False,0,0,1,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-49-35,1674326975,68.9620954990387,38839,ML-RefVm-847530,10.0.0.18,36.97333741188049,0,1,0.012608528137207031
1,2.7679085123772715,2.6814432985642376,0.11672794117647059,27.81802248954773,False,0,0,2,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-50-02,1674327002,96.78011798858643,38839,ML-RefVm-847530,10.0.0.18,64.79135990142822,0,2,0.012608528137207031
2,2.475208319869696,2.337602306814755,0.23023897058823528,24.651020765304565,False,0,0,3,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-50-27,1674327027,121.43113875389099,38839,ML-RefVm-847530,10.0.0.18,89.44238066673279,0,3,0.012608528137207031
3,2.101978718065748,2.055146897540373,0.3102022058823529,29.86874008178711,False,0,0,4,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-50-57,1674327057,151.2998788356781,38839,ML-RefVm-847530,10.0.0.18,119.3111207485199,0,4,0.012608528137207031
4,1.7122083294625376,1.651728489819695,0.5032169117647058,28.317384719848633,False,0,0,5,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-51-25,1674327085,179.61726355552673,38839,ML-RefVm-847530,10.0.0.18,147.62850546836853,0,5,0.012608528137207031
5,1.366350674161724,1.3394380176768583,0.6043198529411765,27.569255828857422,False,0,0,6,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-51-53,1674327113,207.18651938438416,38839,ML-RefVm-847530,10.0.0.18,175.19776129722595,0,6,0.012608528137207031
6,1.1080179027482575,1.1965395001804127,0.6374080882352942,19.753751516342163,False,0,0,7,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-52-13,1674327133,226.94027090072632,38839,ML-RefVm-847530,10.0.0.18,194.95151281356812,0,7,0.012608528137207031
7,0.8865081060166452,0.9435761851422927,0.7049632352941176,19.55161690711975,False,0,0,8,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-52-32,1674327152,246.49188780784607,38839,ML-RefVm-847530,10.0.0.18,214.50312972068787,0,8,0.012608528137207031
8,0.7325572944154927,0.7890598633710075,0.7780330882352942,22.76068425178528,False,0,0,9,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-52-55,1674327175,269.25257205963135,38839,ML-RefVm-847530,10.0.0.18,237.26381397247314,0,9,0.012608528137207031
0,2.913501085019579,2.9710325353285847,0.07904411764705882,22.818713665008545,False,0,0,1,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-54-29,1674327269,292.0712857246399,38839,ML-RefVm-847530,10.0.0.18,22.818713665008545,0,1,0.012608528137207031
1,2.64229229852265,2.568481403238633,0.125,19.533297538757324,False,0,0,2,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-54-48,1674327288,311.6045832633972,38839,ML-RefVm-847530,10.0.0.18,42.35201120376587,0,2,0.012608528137207031
2,2.284437245013667,2.1974396845873665,0.20220588235294118,18.246307611465454,False,0,0,3,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-55-06,1674327306,329.85089087486267,38839,ML-RefVm-847530,10.0.0.18,60.59831881523132,0,3,0.012608528137207031
3,2.0447635229896095,2.1067761884016147,0.26746323529411764,19.037665128707886,False,0,0,4,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-55-25,1674327325,348.88855600357056,38839,ML-RefVm-847530,10.0.0.18,79.63598394393921,0,4,0.012608528137207031
4,1.8701301252140718,1.9282552494722254,0.3010110294117647,19.34387516975403,False,0,0,5,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-55-45,1674327345,368.2324311733246,38839,ML-RefVm-847530,10.0.0.18,98.97985911369324,0,5,0.012608528137207031
5,1.6654707356995226,1.8340754158356611,0.390625,18.1022686958313,False,0,0,6,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-56-03,1674327363,386.3346998691559,38839,ML-RefVm-847530,10.0.0.18,117.08212780952454,0,6,0.012608528137207031
6,1.483336422957626,1.525945684489082,0.49402573529411764,16.48143696784973,False,0,0,7,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-56-19,1674327379,402.8161368370056,38839,ML-RefVm-847530,10.0.0.18,133.56356477737427,0,7,0.012608528137207031
7,1.2868234129513012,1.3656462571200203,0.5767463235294118,16.74983787536621,False,0,0,8,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-56-36,1674327396,419.5659747123718,38839,ML-RefVm-847530,10.0.0.18,150.31340265274048,0,8,0.012608528137207031
8,1.0744719189756058,1.3014275045955883,0.6116727941176471,16.792008638381958,False,0,0,9,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-56-53,1674327413,436.3579833507538,38839,ML-RefVm-847530,10.0.0.18,167.10541129112244,0,9,0.012608528137207031
9,0.9091811238550672,1.0940571462406832,0.6815257352941176,16.70995855331421,False,0,0,10,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-57-10,1674327430,453.067941904068,38839,ML-RefVm-847530,10.0.0.18,183.81536984443665,0,10,0.012608528137207031
10,0.751952775553161,0.9408207500682157,0.7693014705882353,16.471402406692505,False,0,0,11,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-57-26,1674327446,469.5393443107605,38839,ML-RefVm-847530,10.0.0.18,200.28677225112915,0,11,0.012608528137207031
11,0.6754477631812003,1.1339488555403316,0.7233455882352942,16.591759204864502,False,0,0,12,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-57-43,1674327463,486.131103515625,38839,ML-RefVm-847530,10.0.0.18,216.87853145599365,0,12,0.012608528137207031
12,0.5917199429343728,0.7690054178237915,0.8042279411764706,16.527191877365112,False,0,0,13,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-57-59,1674327479,502.6582953929901,38839,ML-RefVm-847530,10.0.0.18,233.40572333335876,0,13,0.012608528137207031
13,0.42188529290404975,0.7206882904557621,0.8377757352941176,16.54371953010559,False,0,0,14,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-58-16,1674327496,519.2020149230957,38839,ML-RefVm-847530,10.0.0.18,249.94944286346436,0,14,0.012608528137207031
14,0.35524383158076045,0.6344536911038792,0.8644301470588235,16.79140281677246,False,0,0,15,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-58-33,1674327513,535.9934177398682,38839,ML-RefVm-847530,10.0.0.18,266.7408456802368,0,15,0.012608528137207031
15,0.2869102957786298,0.5188170636401457,0.8984375,16.398481845855713,False,0,0,16,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-58-49,1674327529,552.3918995857239,38839,ML-RefVm-847530,10.0.0.18,283.13932752609253,0,16,0.012608528137207031
16,0.23780356654349497,0.576169993947534,0.8832720588235294,17.33825397491455,False,0,0,17,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-59-06,1674327546,569.7301535606384,38839,ML-RefVm-847530,10.0.0.18,300.4775815010071,0,17,0.012608528137207031
17,0.20679079025399452,0.4771468972458559,0.9007352941176471,16.578328847885132,False,0,0,18,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-59-23,1674327563,586.3084824085236,38839,ML-RefVm-847530,10.0.0.18,317.0559103488922,0,18,0.012608528137207031
18,0.18416845243351132,0.44895533954395966,0.9140625,16.604948043823242,False,0,0,19,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-59-40,1674327580,602.9134304523468,38839,ML-RefVm-847530,10.0.0.18,333.66085839271545,0,19,0.012608528137207031
19,0.1639203316732949,0.419882232651991,0.9273897058823529,16.243635416030884,False,0,0,20,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_18-59-56,1674327596,619.1570658683777,38839,ML-RefVm-847530,10.0.0.18,349.90449380874634,0,20,0.012608528137207031
20,0.1399518276254336,0.4178742713787976,0.9149816176470589,16.472381114959717,False,0,0,21,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-00-12,1674327612,635.6294469833374,38839,ML-RefVm-847530,10.0.0.18,366.37687492370605,0,21,0.012608528137207031
21,0.12538273077385098,0.45792994692045097,0.9099264705882353,16.352315425872803,False,0,0,22,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-00-29,1674327629,651.9817624092102,38839,ML-RefVm-847530,10.0.0.18,382.72919034957886,0,22,0.012608528137207031
22,0.10762778070627474,0.5472391195156995,0.9021139705882353,16.568448305130005,False,0,0,23,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-00-45,1674327645,668.5502107143402,38839,ML-RefVm-847530,10.0.0.18,399.29763865470886,0,23,0.012608528137207031
23,0.16460462907950082,0.39685101456501903,0.9204963235294118,16.762497663497925,False,0,0,24,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-01-02,1674327662,685.3127083778381,38839,ML-RefVm-847530,10.0.0.18,416.0601363182068,0,24,0.012608528137207031
24,0.11905198909488379,0.3559595122933388,0.9342830882352942,17.451229572296143,False,0,0,25,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-01-19,1674327679,702.7639379501343,38839,ML-RefVm-847530,10.0.0.18,433.51136589050293,0,25,0.012608528137207031
25,0.08530676788559147,0.3726199251763961,0.9306066176470589,17.392446517944336,False,0,0,26,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-01-37,1674327697,720.1563844680786,38839,ML-RefVm-847530,10.0.0.18,450.90381240844727,0,26,0.012608528137207031
26,0.17872603887728616,0.3747978052672218,0.9227941176470589,17.045923233032227,False,0,0,27,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-01-54,1674327714,737.2023077011108,38839,ML-RefVm-847530,10.0.0.18,467.9497356414795,0,27,0.012608528137207031
27,0.1004406803232782,0.32676803978050456,0.9388786764705882,16.760550498962402,False,0,0,28,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-02-11,1674327731,753.9628582000732,38839,ML-RefVm-847530,10.0.0.18,484.7102861404419,0,28,0.012608528137207031
28,0.0887854996630374,0.3473409537006827,0.9301470588235294,16.748488187789917,False,0,0,29,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-02-27,1674327747,770.7113463878632,38839,ML-RefVm-847530,10.0.0.18,501.4587743282318,0,29,0.012608528137207031
29,0.06827354624721349,0.316346736953539,0.9388786764705882,16.81646156311035,False,0,0,30,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-02-44,1674327764,787.5278079509735,38839,ML-RefVm-847530,10.0.0.18,518.2752358913422,0,30,0.012608528137207031
30,0.05374940871900203,0.3578564507119796,0.9375,16.53746724128723,False,0,0,31,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-03-01,1674327781,804.0652751922607,38839,ML-RefVm-847530,10.0.0.18,534.8127031326294,0,31,0.012608528137207031
31,0.05641997317034824,0.43263516180655537,0.9204963235294118,17.34527826309204,False,0,0,32,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-03-18,1674327798,821.4105534553528,38839,ML-RefVm-847530,10.0.0.18,552.1579813957214,0,32,0.012608528137207031
32,0.06263108496718547,0.32428058105356555,0.9434742647058824,18.695658922195435,False,0,0,33,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-03-37,1674327817,840.1062123775482,38839,ML-RefVm-847530,10.0.0.18,570.8536403179169,0,33,0.012608528137207031
33,0.036684389920065216,0.3272412314134486,0.9375,18.465802669525146,False,0,0,34,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-03-55,1674327835,858.5720150470734,38839,ML-RefVm-847530,10.0.0.18,589.319442987442,0,34,0.012608528137207031
34,0.035624246879973835,0.3868931715979296,0.9384191176470589,18.476576566696167,False,0,0,35,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-04-14,1674327854,877.0485916137695,38839,ML-RefVm-847530,10.0.0.18,607.7960195541382,0,35,0.012608528137207031
35,0.035301009302630144,0.3280658888466218,0.9471507352941176,17.920302152633667,False,0,0,36,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-04-32,1674327872,894.9688937664032,38839,ML-RefVm-847530,10.0.0.18,625.7163217067719,0,36,0.012608528137207031
36,0.033462770849320235,0.321429060662494,0.9499080882352942,18.71354579925537,False,0,0,37,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-04-50,1674327890,913.6824395656586,38839,ML-RefVm-847530,10.0.0.18,644.4298675060272,0,37,0.012608528137207031
37,0.03543707231680552,0.3553476684233722,0.9388786764705882,17.329063653945923,False,0,0,38,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-05-08,1674327908,931.0115032196045,38839,ML-RefVm-847530,10.0.0.18,661.7589311599731,0,38,0.012608528137207031
38,0.027165092527866364,0.35728205652797923,0.9379595588235294,17.10717010498047,False,0,0,39,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-05-25,1674327925,948.118673324585,38839,ML-RefVm-847530,10.0.0.18,678.8661012649536,0,39,0.012608528137207031
39,0.03161295102543983,0.3346329861704041,0.9503676470588235,17.8935329914093,False,0,0,40,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-05-43,1674327943,966.0122063159943,38839,ML-RefVm-847530,10.0.0.18,696.7596342563629,0,40,0.012608528137207031
40,0.03273146281785825,0.31016407424912734,0.9466911764705882,18.41226577758789,False,0,0,41,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-06-01,1674327961,984.4244720935822,38839,ML-RefVm-847530,10.0.0.18,715.1719000339508,0,41,0.012608528137207031
41,0.022214914544248114,0.29941680457662134,0.9535845588235294,17.944866180419922,False,0,0,42,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-06-19,1674327979,1002.3693382740021,38839,ML-RefVm-847530,10.0.0.18,733.1167662143707,0,42,0.012608528137207031
42,0.015441895325613372,0.36304367289823647,0.9471507352941176,16.674172163009644,False,0,0,43,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-06-36,1674327996,1019.0435104370117,38839,ML-RefVm-847530,10.0.0.18,749.7909383773804,0,43,0.012608528137207031
43,0.023175870442726447,0.37470097182428136,0.9425551470588235,17.06889820098877,False,0,0,44,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-06-53,1674328013,1036.1124086380005,38839,ML-RefVm-847530,10.0.0.18,766.8598365783691,0,44,0.012608528137207031
44,0.021917029320463247,0.3466106692657751,0.9466911764705882,17.625102281570435,False,0,0,45,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-07-10,1674328030,1053.737510919571,38839,ML-RefVm-847530,10.0.0.18,784.4849388599396,0,45,0.012608528137207031
45,0.018186174077438375,0.3017151627470465,0.9457720588235294,18.59763216972351,False,0,0,46,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-07-29,1674328049,1072.3351430892944,38839,ML-RefVm-847530,10.0.0.18,803.0825710296631,0,46,0.012608528137207031
46,0.031252296586685324,0.2984504333752043,0.9485294117647058,16.79105520248413,False,0,0,47,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-07-46,1674328066,1089.1261982917786,38839,ML-RefVm-847530,10.0.0.18,819.8736262321472,0,47,0.012608528137207031
47,0.033235062210473655,0.4405325808945824,0.9250919117647058,16.02931785583496,False,0,0,48,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-08-02,1674328082,1105.1555161476135,38839,ML-RefVm-847530,10.0.0.18,835.9029440879822,0,48,0.012608528137207031
48,0.020008011018017344,0.341298767749001,0.9517463235294118,16.711819887161255,False,0,0,49,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-08-18,1674328098,1121.8673360347748,38839,ML-RefVm-847530,10.0.0.18,852.6147639751434,0,49,0.012608528137207031
49,0.01865482321191652,0.3458877411835334,0.9503676470588235,17.241802215576172,False,0,0,50,f376f926,438aa6e93adf443484a8142c6ab9ecbc,2023-01-21_19-08-36,1674328116,1139.109138250351,38839,ML-RefVm-847530,10.0.0.18,869.8565661907196,0,50,0.012608528137207031
