iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.913115291034474,2.7499047728145825,0.09926470588235294,98.13392758369446,False,,,1,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_14-47-15,1674398835,98.13392758369446,58182,ML-RefVm-847530,10.0.0.18,98.13392758369446,0,1,0.006310224533081055
0,2.893718074349796,3.1468643581165985,0.0818014705882353,89.53386282920837,False,0,0,1,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_14-55-25,1674399325,187.66779041290283,66797,ML-RefVm-847530,10.0.0.18,89.53386282920837,0,1,0.013806343078613281
1,2.728603545357199,2.3780664976905372,0.21737132352941177,87.18130230903625,False,0,0,2,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_14-56-53,1674399413,274.8490927219391,66797,ML-RefVm-847530,10.0.0.18,176.71516513824463,0,2,0.013806343078613281
2,1.8554111017900354,1.3433282164966358,0.5629595588235294,87.5903148651123,False,0,0,3,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_14-58-20,1674399500,362.4394075870514,66797,ML-RefVm-847530,10.0.0.18,264.30548000335693,0,3,0.013806343078613281
0,2.8947226112964106,2.8482927013846004,0.09145220588235294,75.5184497833252,False,0,0,1,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-13-52,1674400432,437.9578573703766,81646,ML-RefVm-847530,10.0.0.18,75.5184497833252,0,1,0.013104677200317383
1,2.4571861963646087,2.0295373411739575,0.2936580882352941,78.3792815208435,False,0,0,2,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-15-11,1674400511,516.3371388912201,81646,ML-RefVm-847530,10.0.0.18,153.8977313041687,0,2,0.013104677200317383
2,1.4587060248150545,1.066013350206263,0.7022058823529411,71.9106855392456,False,0,0,3,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-16-23,1674400583,588.2478244304657,81646,ML-RefVm-847530,10.0.0.18,225.8084168434143,0,3,0.013104677200317383
3,0.7196017258307513,0.7790420370943406,0.7899816176470589,67.35654211044312,False,0,0,4,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-17-30,1674400650,655.6043665409088,81646,ML-RefVm-847530,10.0.0.18,293.1649589538574,0,4,0.013104677200317383
4,0.3469851706542221,0.47193868896540475,0.8828125,83.15126967430115,False,0,0,5,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-18-53,1674400733,738.75563621521,81646,ML-RefVm-847530,10.0.0.18,376.31622862815857,0,5,0.013104677200317383
5,0.1927431811596833,0.4574694475706886,0.8897058823529411,67.83300924301147,False,0,0,6,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-20-01,1674400801,806.5886454582214,81646,ML-RefVm-847530,10.0.0.18,444.14923787117004,0,6,0.013104677200317383
6,0.11041808625062306,0.2634337781106724,0.9397977941176471,59.918299436569214,False,0,0,7,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-21-01,1674400861,866.5069448947906,81646,ML-RefVm-847530,10.0.0.18,504.06753730773926,0,7,0.013104677200317383
7,0.08600921348175582,0.3137852058691137,0.9191176470588235,66.06406736373901,False,0,0,8,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-22-07,1674400927,932.5710122585297,81646,ML-RefVm-847530,10.0.0.18,570.1316046714783,0,8,0.013104677200317383
8,0.07117245810142919,0.3002750391469282,0.9283088235294118,58.214160680770874,False,0,0,9,4b8979bf,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-23-05,1674400985,990.7851729393005,81646,ML-RefVm-847530,10.0.0.18,628.3457653522491,0,9,0.013104677200317383
