iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.7793093802882174,2.4787127691156723,0.12591911764705882,277.07452297210693,False,,,1,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_14-45-10,1674398710,277.07452297210693,58184,ML-RefVm-847530,10.0.0.18,277.07452297210693,0,1,0.0063893795013427734
0,2.8787493518754546,2.732503231833963,0.11029411764705882,276.51921343803406,False,0,0,1,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_14-56-02,1674399362,553.593736410141,66799,ML-RefVm-847530,10.0.0.18,276.51921343803406,0,1,0.014792919158935547
1,2.2597575585047402,2.0535569611717674,0.3235294117647059,271.6481282711029,False,0,0,2,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-00-33,1674399633,825.2418646812439,66799,ML-RefVm-847530,10.0.0.18,548.167341709137,0,2,0.014792919158935547
2,1.51293089576796,1.3232250143499935,0.5776654411764706,271.6175489425659,False,0,0,3,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-05-05,1674399905,1096.8594136238098,66799,ML-RefVm-847530,10.0.0.18,819.7848906517029,0,3,0.014792919158935547
0,2.8266840495315253,2.561437087900498,0.10064338235294118,220.52573895454407,False,0,0,1,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-16-12,1674400572,1317.3851525783539,66799,ML-RefVm-847530,10.0.0.18,220.52573895454407,0,1,0.014792919158935547
1,2.548746207181145,2.608230983509737,0.19163602941176472,214.57838320732117,False,0,0,2,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-19-46,1674400786,1531.963535785675,66799,ML-RefVm-847530,10.0.0.18,435.10412216186523,0,2,0.014792919158935547
2,2.1759634649052337,1.9347090440637924,0.3478860294117647,218.7750563621521,False,0,0,3,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-23-25,1674401005,1750.7385921478271,66799,ML-RefVm-847530,10.0.0.18,653.8791785240173,0,3,0.014792919158935547
3,1.524172306060791,1.3476417064666748,0.5721507352941176,152.1988663673401,False,0,0,4,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-25-57,1674401157,1902.9374585151672,66799,ML-RefVm-847530,10.0.0.18,806.0780448913574,0,4,0.014792919158935547
4,0.8534682696940852,0.77228264948901,0.7849264705882353,148.56724333763123,False,0,0,5,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-28-26,1674401306,2051.5047018527985,66799,ML-RefVm-847530,10.0.0.18,954.6452882289886,0,5,0.014792919158935547
5,0.4834861802119835,0.4295496642589569,0.8961397058823529,147.63313102722168,False,0,0,6,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-30-53,1674401453,2199.13783288002,66799,ML-RefVm-847530,10.0.0.18,1102.2784192562103,0,6,0.014792919158935547
6,0.26456742353883445,0.39226871202973757,0.9007352941176471,147.5550012588501,False,0,0,7,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-33-21,1674401601,2346.6928341388702,66799,ML-RefVm-847530,10.0.0.18,1249.8334205150604,0,7,0.014792919158935547
7,0.15047455498693035,0.44542137138983784,0.8832720588235294,149.33640241622925,False,0,0,8,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-35-50,1674401750,2496.0292365550995,66799,ML-RefVm-847530,10.0.0.18,1399.1698229312897,0,8,0.014792919158935547
8,0.1405753801558532,0.31899186968803406,0.9278492647058824,152.04107666015625,True,0,0,9,a77d7c2f,67832a5334e54d60947925686d69e842,2023-01-22_15-38-22,1674401902,2648.0703132152557,66799,ML-RefVm-847530,10.0.0.18,1551.210899591446,0,9,0.014792919158935547
