iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9042454373602773,2.881492867189295,0.07628676470588236,38.96771264076233,False,,,1,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_08-58-08,1674464288,38.96771264076233,36554,ML-RefVm-847530,10.0.0.18,38.96771264076233,0,1,0.006188392639160156
0,2.8211120624168244,2.579116709092084,0.15395220588235295,45.2806830406189,False,0,0,1,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-03-55,1674464635,84.24839568138123,40688,ML-RefVm-847530,10.0.0.18,45.2806830406189,0,1,0.009532451629638672
1,2.0280777099085787,1.611737146097071,0.4710477941176471,28.666908979415894,False,0,0,2,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-04-24,1674464664,112.91530466079712,40688,ML-RefVm-847530,10.0.0.18,73.94759202003479,0,2,0.009532451629638672
2,1.2168696896702635,1.0528792633729822,0.7068014705882353,28.82968544960022,False,0,0,3,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-04-53,1674464693,141.74499011039734,40688,ML-RefVm-847530,10.0.0.18,102.77727746963501,0,3,0.009532451629638672
0,2.8568399186227835,2.720536428339341,0.08042279411764706,41.89361596107483,False,0,0,1,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-06-30,1674464790,183.63860607147217,47006,ML-RefVm-847530,10.0.0.18,41.89361596107483,0,1,0.012268304824829102
1,2.321712161980423,2.005766041138593,0.28952205882352944,34.97172451019287,False,0,0,2,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-07-05,1674464825,218.61033058166504,47006,ML-RefVm-847530,10.0.0.18,76.8653404712677,0,2,0.012268304824829102
2,1.5565671850653255,1.197330306558048,0.6585477941176471,36.948801040649414,False,0,0,3,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-07-42,1674464862,255.55913162231445,47006,ML-RefVm-847530,10.0.0.18,113.81414151191711,0,3,0.012268304824829102
3,0.7081976725774652,0.6508322288008297,0.8561580882352942,42.58746862411499,False,0,0,4,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-08-25,1674464905,298.14660024642944,47006,ML-RefVm-847530,10.0.0.18,156.4016101360321,0,4,0.012268304824829102
4,0.33096688196939583,0.5180957001798293,0.8809742647058824,38.87198877334595,False,0,0,5,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-09-03,1674464943,337.0185890197754,47006,ML-RefVm-847530,10.0.0.18,195.27359890937805,0,5,0.012268304824829102
5,0.2872423325099197,0.6409669816493988,0.8662683823529411,41.599685192108154,False,0,0,6,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-09-45,1674464985,378.61827421188354,47006,ML-RefVm-847530,10.0.0.18,236.8732841014862,0,6,0.012268304824829102
6,0.1332145089320108,0.4416384889799006,0.9113051470588235,38.44012379646301,False,0,0,7,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-10-23,1674465023,417.05839800834656,47006,ML-RefVm-847530,10.0.0.18,275.3134078979492,0,7,0.012268304824829102
7,0.44875522849022176,0.38299886619343476,0.8897058823529411,29.188209056854248,False,0,0,8,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-10-53,1674465053,446.2466070652008,47006,ML-RefVm-847530,10.0.0.18,304.50161695480347,0,8,0.012268304824829102
8,0.11905327344349786,0.2535163567346685,0.9319852941176471,29.84333634376526,False,0,0,9,4eea68f0,a5baadd12a2f46e5a5f9cfcb2e16bcfa,2023-01-23_09-11-22,1674465082,476.08994340896606,47006,ML-RefVm-847530,10.0.0.18,334.3449532985687,0,9,0.012268304824829102
