iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.7571050559773163,2.5827294377719654,0.15487132352941177,66.951176404953,False,,,1,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-34-45,1674466485,66.951176404953,56462,ML-RefVm-847530,10.0.0.18,66.951176404953,0,1,0.005706071853637695
0,2.9229306239707795,2.9428725523107193,0.0896139705882353,66.15284323692322,False,0,0,1,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-40-38,1674466838,133.10401964187622,56393,ML-RefVm-847530,10.0.0.18,66.15284323692322,0,1,0.003528118133544922
1,2.555742855165519,2.0682291563819435,0.31387867647058826,67.97893619537354,False,0,0,2,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-41-46,1674466906,201.08295583724976,56393,ML-RefVm-847530,10.0.0.18,134.13177943229675,0,2,0.003528118133544922
2,1.3400880647640603,1.0717401995378382,0.6920955882352942,66.31428098678589,False,0,0,3,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-42-52,1674466972,267.39723682403564,56393,ML-RefVm-847530,10.0.0.18,200.44606041908264,0,3,0.003528118133544922
0,2.8512202851912556,2.5903178804060993,0.11856617647058823,55.664305686950684,False,0,0,1,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-49-00,1674467340,323.0615425109863,56393,ML-RefVm-847530,10.0.0.18,55.664305686950684,0,1,0.003528118133544922
1,1.921266992886861,1.5502048310111551,0.5170036764705882,60.396366357803345,False,0,0,2,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-50-00,1674467400,383.4579088687897,56393,ML-RefVm-847530,10.0.0.18,116.06067204475403,0,2,0.003528118133544922
2,0.9695260068949532,1.0328598197768717,0.7205882352941176,50.859323501586914,False,0,0,3,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-50-51,1674467451,434.3172323703766,56393,ML-RefVm-847530,10.0.0.18,166.91999554634094,0,3,0.003528118133544922
3,0.46699605414680406,0.778795368531171,0.7996323529411765,59.609360694885254,False,0,0,4,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-51-51,1674467511,493.92659306526184,56393,ML-RefVm-847530,10.0.0.18,226.5293562412262,0,4,0.003528118133544922
4,0.2549882542853262,0.6165418502162484,0.8607536764705882,55.30506706237793,False,0,0,5,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-52-46,1674467566,549.2316601276398,56393,ML-RefVm-847530,10.0.0.18,281.8344233036041,0,5,0.003528118133544922
5,0.1752516863977208,0.41399313421810374,0.8860294117647058,43.88461494445801,False,0,0,6,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-53-30,1674467610,593.1162750720978,56393,ML-RefVm-847530,10.0.0.18,325.71903824806213,0,6,0.003528118133544922
6,0.1338231965315108,0.42867478552986593,0.9080882352941176,64.04171681404114,False,0,0,7,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-54-34,1674467674,657.1579918861389,56393,ML-RefVm-847530,10.0.0.18,389.76075506210327,0,7,0.003528118133544922
7,0.08752095093037568,0.33496616605450125,0.9108455882352942,46.80869483947754,False,0,0,8,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-55-21,1674467721,703.9666867256165,56393,ML-RefVm-847530,10.0.0.18,436.5694499015808,0,8,0.003528118133544922
8,0.08819462852004696,0.27042309896034356,0.9278492647058824,37.562318086624146,True,0,0,9,00e754b4,b02af74722034a9aad05fd5245296014,2023-01-23_09-55-58,1674467758,741.5290048122406,56393,ML-RefVm-847530,10.0.0.18,474.13176798820496,0,9,0.003528118133544922
