iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.871059782364789,2.723465737174539,0.09375,86.38718438148499,False,,,1,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-39-32,1674466772,86.38718438148499,56462,ML-RefVm-847530,10.0.0.18,86.38718438148499,0,1,0.005706071853637695
0,2.8989559902864346,2.8714278305278107,0.08639705882352941,97.08455562591553,False,0,0,1,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-45-26,1674467126,183.4717400074005,61572,ML-RefVm-847530,10.0.0.18,97.08455562591553,0,1,0.010436058044433594
1,2.4525242576412127,2.054607391357422,0.2711397058823529,95.30187797546387,False,0,0,2,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-47-01,1674467221,278.7736179828644,61572,ML-RefVm-847530,10.0.0.18,192.3864336013794,0,2,0.010436058044433594
2,1.5348955322714413,1.163247806184432,0.6424632352941176,63.28934955596924,False,0,0,3,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-48-04,1674467284,342.0629675388336,61572,ML-RefVm-847530,10.0.0.18,255.67578315734863,0,3,0.010436058044433594
3,0.7585793856312247,0.6697281634106356,0.8147977941176471,74.09118318557739,False,0,0,4,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-49-18,1674467358,416.154150724411,61572,ML-RefVm-847530,10.0.0.18,329.766966342926,0,4,0.010436058044433594
4,0.36774662896698596,0.45948802898911867,0.8740808823529411,82.25825810432434,False,0,0,5,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-50-41,1674467441,498.41240882873535,61572,ML-RefVm-847530,10.0.0.18,412.02522444725037,0,5,0.010436058044433594
5,0.1603631941126842,0.3426189527792089,0.9021139705882353,63.595155239105225,False,0,0,6,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-51-44,1674467504,562.0075640678406,61572,ML-RefVm-847530,10.0.0.18,475.6203796863556,0,6,0.010436058044433594
6,0.12537170552155552,0.31421051919460297,0.9204963235294118,62.8557767868042,False,0,0,7,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-52-47,1674467567,624.8633408546448,61572,ML-RefVm-847530,10.0.0.18,538.4761564731598,0,7,0.010436058044433594
7,0.1029947726238592,0.30095795235213113,0.9315257352941176,90.12179946899414,False,0,0,8,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-54-17,1674467657,714.9851403236389,61572,ML-RefVm-847530,10.0.0.18,628.5979559421539,0,8,0.010436058044433594
8,0.05154656702835186,0.2253007595153416,0.9526654411764706,69.42396926879883,False,0,0,9,8fca6490,b02af74722034a9aad05fd5245296014,2023-01-23_09-55-27,1674467727,784.4091095924377,61572,ML-RefVm-847530,10.0.0.18,698.0219252109528,0,9,0.010436058044433594
