iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.860556120965995,2.7133393427904915,0.10431985294117647,59.496132373809814,False,,,1,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-35-56,1674466556,59.496132373809814,56466,ML-RefVm-847530,10.0.0.18,59.496132373809814,0,1,0.005086183547973633
0,2.8385248838686477,2.97777356820948,0.09375,62.65597677230835,False,0,0,1,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-40-40,1674466840,122.15210914611816,61574,ML-RefVm-847530,10.0.0.18,62.65597677230835,0,1,0.009943246841430664
1,2.2865397415909112,2.399782250909244,0.2849264705882353,57.083897829055786,False,0,0,2,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-41-37,1674466897,179.23600697517395,61574,ML-RefVm-847530,10.0.0.18,119.73987460136414,0,2,0.009943246841430664
2,1.4295481139538335,1.1740633599898394,0.6470588235294118,57.729376792907715,False,0,0,3,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-42-34,1674466954,236.96538376808167,61574,ML-RefVm-847530,10.0.0.18,177.46925139427185,0,3,0.009943246841430664
0,2.8698315526924882,2.90992229125079,0.1213235294117647,52.577091217041016,False,0,0,1,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-49-00,1674467340,289.5424749851227,68607,ML-RefVm-847530,10.0.0.18,52.577091217041016,0,1,0.0074884891510009766
1,2.3454845278870824,1.900860590093276,0.3805147058823529,35.52457141876221,False,0,0,2,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-49-36,1674467376,325.0670464038849,68607,ML-RefVm-847530,10.0.0.18,88.10166263580322,0,2,0.0074884891510009766
2,1.358538287527421,2.3416001586353077,0.4172794117647059,43.05974578857422,False,0,0,3,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-50-19,1674467419,368.1267921924591,68607,ML-RefVm-847530,10.0.0.18,131.16140842437744,0,3,0.0074884891510009766
3,1.009541183125739,0.9391623349750743,0.7247242647058824,51.30618238449097,False,0,0,4,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-51-10,1674467470,419.4329745769501,68607,ML-RefVm-847530,10.0.0.18,182.4675908088684,0,4,0.0074884891510009766
4,0.45712679273941936,0.5427458654431736,0.8648897058823529,55.50921678543091,False,0,0,5,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-52-06,1674467526,474.942191362381,68607,ML-RefVm-847530,10.0.0.18,237.97680759429932,0,5,0.0074884891510009766
5,0.21699794162722194,0.4992823267684263,0.8704044117647058,53.645819664001465,False,0,0,6,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-52-59,1674467579,528.5880110263824,68607,ML-RefVm-847530,10.0.0.18,291.6226272583008,0,6,0.0074884891510009766
6,0.19172394377928154,0.4031076720532249,0.9039522058823529,44.66715884208679,False,0,0,7,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-53-44,1674467624,573.2551698684692,68607,ML-RefVm-847530,10.0.0.18,336.2897861003876,0,7,0.0074884891510009766
7,0.12158304533245516,0.3190966423820047,0.9227941176470589,35.19194293022156,False,0,0,8,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-54-19,1674467659,608.4471127986908,68607,ML-RefVm-847530,10.0.0.18,371.48172903060913,0,8,0.0074884891510009766
8,0.09249511379383359,0.29210759173421297,0.9342830882352942,35.3278603553772,False,0,0,9,a5be8ae5,be88332e178743f28fca665f7d7474f2,2023-01-23_09-54-55,1674467695,643.774973154068,68607,ML-RefVm-847530,10.0.0.18,406.8095893859863,0,9,0.0074884891510009766
