iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8744678123324525,2.804289228775922,0.0900735294117647,81.37663269042969,False,,,1,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-06-57,1674583617,81.37663269042969,46844,ML-RefVm-847530,10.0.0.18,81.37663269042969,0,1,0.0059621334075927734
0,2.8533699325486723,3.0379135889165543,0.08318014705882353,83.63550043106079,False,0,0,1,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-12-45,1674583965,165.01213312149048,53016,ML-RefVm-847530,10.0.0.18,83.63550043106079,0,1,0.013496160507202148
1,2.383480801301844,1.9868325415779562,0.3014705882352941,79.31857800483704,False,0,0,2,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-14-04,1674584044,244.33071112632751,53016,ML-RefVm-847530,10.0.0.18,162.95407843589783,0,2,0.013496160507202148
2,1.5279320747244591,1.2428519830984228,0.6351102941176471,80.0499165058136,False,0,0,3,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-15-24,1674584124,324.3806276321411,53016,ML-RefVm-847530,10.0.0.18,243.00399494171143,0,3,0.013496160507202148
0,2.881015978607477,3.9124874788172104,0.05376838235294118,73.05979084968567,False,0,0,1,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-23-12,1674584592,397.4404184818268,61516,ML-RefVm-847530,10.0.0.18,73.05979084968567,0,1,0.010424137115478516
1,2.9688794846628226,2.4147411093992344,0.25137867647058826,73.36039614677429,False,0,0,2,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-24-26,1674584666,470.8008146286011,61516,ML-RefVm-847530,10.0.0.18,146.42018699645996,0,2,0.010424137115478516
2,1.561979988042046,0.8952714660588432,0.734375,66.24276804924011,False,0,0,3,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-25-32,1674584732,537.0435826778412,61516,ML-RefVm-847530,10.0.0.18,212.66295504570007,0,3,0.010424137115478516
3,0.5532583477450352,0.4242960582761204,0.8759191176470589,53.810673236846924,False,0,0,4,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-26-26,1674584786,590.8542559146881,61516,ML-RefVm-847530,10.0.0.18,266.473628282547,0,4,0.010424137115478516
4,0.2828039114966112,0.3947097396149355,0.8828125,73.41403388977051,False,0,0,5,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-27-39,1674584859,664.2682898044586,61516,ML-RefVm-847530,10.0.0.18,339.8876621723175,0,5,0.010424137115478516
5,0.20248227771006377,0.2401891999384936,0.9333639705882353,58.310484170913696,False,0,0,6,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-28-38,1674584918,722.5787739753723,61516,ML-RefVm-847530,10.0.0.18,398.1981463432312,0,6,0.010424137115478516
6,0.11537787785717085,0.20785928364185727,0.9384191176470589,73.07303500175476,False,0,0,7,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-29-51,1674584991,795.6518089771271,61516,ML-RefVm-847530,10.0.0.18,471.27118134498596,0,7,0.010424137115478516
7,0.08031174953223444,0.21296057981603286,0.9416360294117647,75.736643075943,False,0,0,8,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-31-06,1674585066,871.3884520530701,61516,ML-RefVm-847530,10.0.0.18,547.007824420929,0,8,0.010424137115478516
8,0.05178533808565607,0.2578223864821827,0.9315257352941176,56.67398166656494,False,0,0,9,577a345d,94ddd47f380344178a1f2f9d1c79e07b,2023-01-24_18-32-03,1674585123,928.062433719635,61516,ML-RefVm-847530,10.0.0.18,603.6818060874939,0,9,0.010424137115478516
