iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.819035754484289,2.8070237356073715,0.18428308823529413,104.9623498916626,False,,,1,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-05-21,1674583521,104.9623498916626,46848,ML-RefVm-847530,10.0.0.18,104.9623498916626,0,1,0.010609865188598633
0,2.8618462459713805,2.834537562202005,0.10064338235294118,102.91387605667114,False,0,0,1,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-13-04,1674583984,207.87622594833374,53008,ML-RefVm-847530,10.0.0.18,102.91387605667114,0,1,0.014640092849731445
1,2.334938591601802,2.0962276458740234,0.30652573529411764,97.09160089492798,False,0,0,2,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-14-41,1674584081,304.9678268432617,53008,ML-RefVm-847530,10.0.0.18,200.00547695159912,0,2,0.014640092849731445
2,1.432318883783677,1.0205069359611063,0.6999080882352942,95.31401419639587,False,0,0,3,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-16-16,1674584176,400.2818410396576,53008,ML-RefVm-847530,10.0.0.18,295.319491147995,0,3,0.014640092849731445
0,2.730466136745378,2.681261623606962,0.12683823529411764,83.05460405349731,False,0,0,1,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-23-18,1674584598,483.3364450931549,53008,ML-RefVm-847530,10.0.0.18,83.05460405349731,0,1,0.014640092849731445
1,2.139650326149136,1.7564752662883085,0.4333639705882353,58.455851554870605,False,0,0,2,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-24-16,1674584656,541.7922966480255,53008,ML-RefVm-847530,10.0.0.18,141.51045560836792,0,2,0.014640092849731445
2,1.1685704413582296,1.7798041175393498,0.5652573529411765,76.98391509056091,False,0,0,3,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-25-33,1674584733,618.7762117385864,53008,ML-RefVm-847530,10.0.0.18,218.49437069892883,0,3,0.014640092849731445
3,0.6462605361844979,0.6576104584862205,0.8497242647058824,90.23854660987854,False,0,0,4,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-27-03,1674584823,709.014758348465,53008,ML-RefVm-847530,10.0.0.18,308.7329173088074,0,4,0.014640092849731445
4,0.31545405498906676,0.6305310217773213,0.8759191176470589,86.65501666069031,False,0,0,5,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-28-30,1674584910,795.6697750091553,53008,ML-RefVm-847530,10.0.0.18,395.3879339694977,0,5,0.014640092849731445
5,0.18986762475733662,0.4117155408158022,0.9136029411764706,81.20347499847412,False,0,0,6,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-29-51,1674584991,876.8732500076294,53008,ML-RefVm-847530,10.0.0.18,476.5914089679718,0,6,0.014640092849731445
6,0.11126046525497063,0.3643722867264467,0.9246323529411765,70.42997813224792,False,0,0,7,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-31-02,1674585062,947.3032281398773,53008,ML-RefVm-847530,10.0.0.18,547.0213871002197,0,7,0.014640092849731445
7,0.07864840942270615,0.32035016137010913,0.9365808823529411,71.32402992248535,False,0,0,8,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-32-13,1674585133,1018.6272580623627,53008,ML-RefVm-847530,10.0.0.18,618.3454170227051,0,8,0.014640092849731445
8,0.04508132189877477,0.32538482459152446,0.9356617647058824,54.63851714134216,False,0,0,9,f4e3e313,cd7c316096cf47789577c64a6e08b26c,2023-01-24_18-33-08,1674585188,1073.2657752037048,53008,ML-RefVm-847530,10.0.0.18,672.9839341640472,0,9,0.014640092849731445
